Player,team,opponent,proj_mins,conf,last_5_games,last_5_games_fouls,pos,stat,bet_side,stat_projection,line,odds,book,win_pct,expected_value,xAiScore,manualRtg,manualNotes,full_odds_meta_data,team_averages,minutes_injury_summary,minutes_confidence_justification,xAiContext,matched_sim_means,sim_source,game_time_cst,kenpom_player_url
Elliot Cadeau,Michigan,Arizona,35.0,0.85,"[38, 26, 37, 34, 34]","[2.9, 2, 2.9, 2.6, 2.6]",G,points_rebounds_assists,over,25.1046,20.5,-128,sleeper,0.73,1.3058,78,,,sleeper 20.5 O -128; U -128,"Team REB: 40.66, Team AST: 19.21, Team 3PM: 9.38, Team STL: 5.97, Team BLK: 5.90, Team TO: 12.03","Possible allergic reaction pre-Final Four travel; evaluated and cleared, plans to play",High std dev (4.21); recent health issue but confirmed available for game,"Last5 PRA:21(Tenn),29(Ala),23(StL),16(How blowout),21(Pur). Avg22>20.5, over4/5. Pts avg10.4<<proj15(optimistic); reb3=3.5; ast8.6>6.4. Min avg33.8/35, std high w/26 outlier. Cleared allergy but stretcher scare pre-game risks stamina/effort. Az opp ast12.2 (mid); low team PTS/AST proj. Role stable PG, but health/tough matchup lowers trust.","15.19,3.52,6.40","interpolated_sim,interpolated_sim,interpolated_sim",2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55027
Braylon Mullins,Connecticut,UCLA,29.0,0.95,"[33, 34, 32, 27, 37]","[3.3, 3.4, 3.2, 2.7, 3.7]",GF,points,under,9.7105,12.5,-130,caesars,0.74,1.3043,82,,,caesars 12.5 O -103; U -130 | fanatics 12.5 O +100; U -130 | fanduel 12.5 O +102; U -132 | prophetx 12.5 O -109; U -143 | sleeper 11.5 O -143; U -115,"Team REB: 36.37, Team AST: 18.63, Team 3PM: 8.57, Team STL: 7.00, Team BLK: 5.47, Team TO: 10.87",N/A,Slightly high std dev but consistent recent usage in lineups,"Minutes proj 29 reliable, last5 avg~30 (26-37), no injury/rotation news. Recent pts: last5 10(Duke),8(MSU),17(UCLA),12(Furman),5(SJU) avg10.4, 4/5 under12.5. Tournament 3PT cold (4-19 pre-Duke,1-5 game). High shot vol but inefficient. Low team PTS70 vs78.7avg favors under. Heroics risk but fragile boom/bust freshman role.",9.71,interpolated_sim,2026-04-04 05:09 PM CDT,https://kenpom.com/player.php?p=58096
Brayden Burries,Arizona,Utah St.,32.0,0.95,"[33, 33, 19, 33, 28]","[2.3, 2.3, 1.3, 2.3, 2]",F,points_rebounds_assists,under,20.5166,24.5,-137,sleeper,0.74,1.2779,72,,LINE_CHANGED_25.5_TO_24.5:,sleeper 24.5 O -119; U -137,"Team REB: 43.23, Team AST: 17.23, Team 3PM: 5.87, Team STL: 8.07, Team BLK: 4.27, Team TO: 11.03",N/A,N/A,"Minutes proj 32 aligns w/ last5 avg 30.8 & tourney 28-34, high conf. Recent PRA: tourney avg ~26 (22PUR,30ARK,27USU,25LIU), last10 avg 25+ exc injury game (4PRA@20min). Recovered, key starter w/ Bradley. Model 20.5 under recent/hot streak, but low team PTS proj(78vs86) & MI tough D favor under. Recent overs risk edge, but matchup supports.","13.67,4.62,2.23","interpolated_sim,interpolated_sim,interpolated_sim",2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=59285
Trey McKenney,Michigan,Arizona,23.0,1.0,"[23, 25, 23, 28, 19]","[1.4, 1.6, 1.4, 1.8, 1.2]",GF,threes,under,1.397,1.5,105,fanatics,0.61,1.2488,78,,,caesars 1.5 O -129; U -104 | fanatics 1.5 O -140; U +105 | prophetx 1.5 O -20000; U -20000 | sleeper 1.5 O -108; U -154,"Team REB: 40.66, Team AST: 19.21, Team 3PM: 9.38, Team STL: 5.97, Team BLK: 5.90, Team TO: 12.03",N/A,N/A,"Minutes stable at ~23 mpg last 10 (19-28), matching proj. Recent 3PM last5: 1,3,2,1,0 (avg 1.4); last10 avg 1.6. Season 1.7/4.3 att 38%. Hot streaks (3/5 ALA, debut 6/8) but 0/2 vs PUR. Cason injury boosted role earlier; stable bench spark. AZ elite def (.310 opp 3P%) suppresses team 3PM to 8.4<9.4 avg. Proj 1.40 reasonable under 1.5 but variance risks over (6/10 last10). Edge solid vs tough matchup.",1.40,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=58414
Motiejus Krivas,Arizona,Utah St.,32.0,0.98,"[25, 23, 27, 25, 22]","[2.7, 2.5, 2.9, 2.7, 2.4]",C,points_rebounds_assists,over,23.0612,18.5,-139,sleeper,0.73,1.2481,82,,,sleeper 18.5 O -139; U -118,"Team REB: 43.23, Team AST: 17.23, Team 3PM: 5.87, Team STL: 8.07, Team BLK: 4.27, Team TO: 11.03",N/A,Variable recent minutes but key in top lineup shares with Peat/Awaka,"Last 5 PRA:21(PUR35min),21(ARK23),27(USU32),18(LIU22),12(HOU25); avg19.8>18.5 (4/5 over). Min avg27.4<proj32 variable. Starter in best lineup, healthy post-injury. Tough paint battle vs MI Mara risks pts/reb dip. Team proj78pts low pace. Solid edge but matchup fragility lowers score.","12.12,9.77,1.17","interpolated_sim,interpolated_sim,interpolated_sim",2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55294
Motiejus Krivas,Arizona,Utah St.,32.0,0.98,"[25, 23, 27, 25, 22]","[2.7, 2.5, 2.9, 2.7, 2.4]",C,rebounds,over,9.7722,7.5,-114,fanduel,0.66,1.2325,78,,,caesars 7.5 O -118; U -113 | fanatics 7.5 O -115; U -115 | fanduel 7.5 O -114; U -114 | prophetx 7.5 O -127; U -122 | sleeper 7.5 O -133; U -123,"Team REB: 43.23, Team AST: 17.23, Team 3PM: 5.87, Team STL: 8.07, Team BLK: 4.27, Team TO: 11.03",N/A,Variable recent minutes but key in top lineup shares with Peat/Awaka,"Minutes proj 32 optimistic vs last5 avg 27.4 (25,22,32,23,35) & season 25; variable usage w/ Awaka/Peat. Last5 reb:6,7,14,5,12 (avg8.8>7.5), but fragile (two <6 in 23-25min). Season 8.2 reb solid for starter. Tough MI frontcourt matchup limits team REB proj37.6<43avg. No injuries, key role, tourney upside, but stale high proj erodes edge.",9.77,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55294
Kylan Boswell,Illinois,Connecticut,29.0,0.9,"[17, 27, 34, 30, 27]","[1.1, 1.8, 2.3, 2, 1.8]",G,points,over,10.7851,8.5,-110,fanduel,0.64,1.226,52,,,caesars 8.5 O -118; U -113 | fanatics 8.5 O -115; U -115 | fanduel 8.5 O -110; U -118 | prophetx 8.5 O -123; U -127 | sleeper 8.5 O -127; U -130,"Team REB: 41.07, Team AST: 14.67, Team 3PM: 11.17, Team STL: 3.80, Team BLK: 4.77, Team TO: 9.03",N/A,Recovered from February broken hand; full minutes recently,"Minutes proj solid (29 vs last5 avg 27min), but points avg last5 only 8.4 (2,6,12,13,9) despite key role. Recent duds: 2pts/26min vs Iowa, 6pts/30min vs Hou on 0-7FG. Shooting slump in tourney low-scoring wins (71-59,65-55). Prev vs UConn 25pts early, but now fragile prod vs elite def. Team proj 74pts < season. Edge shaky.",10.79,interpolated_sim,2026-04-04 05:09 PM CDT,https://kenpom.com/player.php?p=53510
David Mirkovic,Illinois,Connecticut,37.0,0.9,"[37, 28, 23, 34, 38]","[2.5, 1.9, 1.6, 2.3, 2.6]",C,points_rebounds,over,24.9277,21.5,-118,fanduel,0.66,1.213,72,,,fanduel 21.5 O -118; U -108 | prophetx 20.5 O -20408; U -20408,"Team REB: 41.07, Team AST: 14.67, Team 3PM: 11.17, Team STL: 3.80, Team BLK: 4.77, Team TO: 9.03",N/A,"Variance in recent games (23-38 min), but consistently heavy rotation player","Minutes proj 37 high vs last5 avg 32 (24-38 range), volatile PRA avg 25.4 but 21,24,12,46,24; tourney excl outlier Penn avg~19. Tough UConn D limits pts/reb vs prior low role game (8pts/18min). Team proj REB/PTS down. Solid role but matchup fragility caps edge.","15.08,9.85","interpolated_sim,interpolated_sim",2026-04-04 05:09 PM CDT,https://kenpom.com/player.php?p=57910
David Mirkovic,Illinois,Connecticut,37.0,0.9,"[37, 28, 23, 34, 38]","[2.5, 1.9, 1.6, 2.3, 2.6]",C,points,over,15.0787,12.5,-114,fanduel,0.64,1.2096,68,,,caesars 12.5 O -125; U -107 | fanatics 12.5 O -115; U -115 | fanduel 12.5 O -114; U -114 | prophetx 12.5 O -129; U +105 | sleeper 12.5 O -135; U -122,"Team REB: 41.07, Team AST: 14.67, Team 3PM: 11.17, Team STL: 3.80, Team BLK: 4.77, Team TO: 9.03",N/A,"Variance in recent games (23-38 min), but consistently heavy rotation player","Minutes proj 37 high vs last5 avg 32min (24-38 variance, dipped to 24 vs VCU). Recent pts volatile:9(Iowa38m),14(Hou34),7(VCU24),29(Penn28),19(Wis36) - 3/5 over12.5 but lows in tighter D. Prev vs UConn:8pts/18min low role; now starter/key but UConn elite D may limit. Team PTS74<<84 hurts. Foul risk. Proj reasonable but unstable/fragile edge.",15.08,interpolated_sim,2026-04-04 05:09 PM CDT,https://kenpom.com/player.php?p=57910
Andrej Stojakovic,Illinois,Connecticut,27.0,0.9,"[31, 20, 26, 29, 26]","[1.6, 1, 1.4, 1.5, 1.4]",F,points,under,10.9893,12.5,-115,fanatics,0.64,1.2021,42,,,caesars 12.5 O -112; U -120 | fanatics 12.5 O -115; U -115 | fanduel 12.5 O -108; U -120 | prophetx 12.5 O -120; U -129 | sleeper 12.5 O -123; U -133,"Team REB: 41.07, Team AST: 14.67, Team 3PM: 11.17, Team STL: 3.80, Team BLK: 4.77, Team TO: 9.03",N/A,N/A,"Minutes proj 27 aligns with last5 avg 26.6 (27,28,26,20,32). Points recent:17(Iowa27m),13(Hou28m),21(VCU26m),9(Penn20m),17(Wis32m); avg15.4, 4/5 over12.5. Season13.6pts/26.3m. Bench role thriving, clutch tournament performer. Low11pt proj fragile vs hot streak; UConn D tough but IL size edge questions under reliability. Volatile output.",10.99,interpolated_sim,2026-04-04 05:09 PM CDT,https://kenpom.com/player.php?p=54816
Brayden Burries,Arizona,Utah St.,32.0,0.95,"[33, 33, 19, 33, 28]","[2.3, 2.3, 1.3, 2.3, 2]",F,rebounds,under,4.6172,4.5,118,fanduel,0.55,1.1892,52,,,caesars 5.5 O +120; U -162 | fanatics 5.5 O +120; U -165 | fanduel 4.5 O -158; U +118 | prophetx 4.5 O -151; U -104 | sleeper 4.5 O -169; U +102,"Team REB: 43.23, Team AST: 17.23, Team 3PM: 5.87, Team STL: 8.07, Team BLK: 4.27, Team TO: 11.03",N/A,N/A,"Minutes stable at 30+ (last5:33,28,26,34,33; conf 0.95). Recent rebs volatile: last5 6,5,9,5,2 (avg5.4>proj4.62), 4/5 over4.5. Season RPG4.9; tournament hot but guard role limits consistency. Team REB proj37.6<<43.2; Mich elite reb def (#20 opp REB/gm). Healthy,no news changes. Edge fragile vs recent surge,stale proj? Slight under value but risky.",4.62,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=59285
Andrej Stojakovic,Illinois,Connecticut,27.0,0.9,"[31, 20, 26, 29, 26]","[1.6, 1, 1.4, 1.5, 1.4]",F,points_rebounds_assists,under,16.302,18.5,-128,sleeper,0.67,1.1877,52,,,sleeper 18.5 O -128; U -128,"Team REB: 41.07, Team AST: 14.67, Team 3PM: 11.17, Team STL: 3.80, Team BLK: 4.77, Team TO: 9.03",N/A,N/A,"Minutes proj 27 aligns w/ last5 avg 26.4 but volatile (20 min outlier); bench role flux per recent quotes/rotation tightening; recent tourney PRA explodes (26 vs VCU 26min, ~23 vs Iowa 27min) vs stale 16.3 proj (pts underrates hot streak); low team pts/elite UConn D supports under but fragile high form & key spark role erode edge trustworthiness.","10.99,4.40,0.91","interpolated_sim,interpolated_sim,poisson_fallback",2026-04-04 05:09 PM CDT,https://kenpom.com/player.php?p=54816
Eric Reibe,Connecticut,Illinois,5.0,0.82,"[11, 5, 10, 7, 7]","[1.7, 0.8, 1.5, 1.1, 1.1]",C,points,under,1.726,2.5,-154,sleeper,0.72,1.1861,88,,,sleeper 2.5 O -108; U -154,"Team REB: 36.37, Team AST: 18.63, Team 3PM: 8.57, Team STL: 7.00, Team BLK: 5.47, Team TO: 10.87",N/A,Variable recent minutes (5-16); slight reduction to reallocate bench minutes to returning Stewart given lineup context,"Last 5 games: 7min/2pts,7/0,11/4,5/0,11/6 (avg 8.2min/2.4pts); all but one under 2.5. Postseason: 7.5min/0.8pts. Reed dominating (32+min tourney), Stewart back splitting bench mins. Variable but low recent production/usage supports under proj (1.73). Low team pace (70pts). Solid edge despite min volatility.",1.73,interpolated_sim,2026-04-04 05:09 PM CDT,https://kenpom.com/player.php?p=58097
Solo Ball,Connecticut,UCLA,28.0,0.92,"[24, 25, 17, 29, 25]","[1.5, 1.6, 1.1, 1.8, 1.6]",GF,threes,under,1.5575,1.5,111,caesars,0.56,1.1823,92,,LINE_CHANGED_2.5_TO_1.5:,caesars 1.5 O -148; U +111 | prophetx 1.5 O -20000; U -20000 | sleeper 2.5 O +160; U -312,"Team REB: 36.37, Team AST: 18.63, Team 3PM: 8.57, Team STL: 7.00, Team BLK: 5.47, Team TO: 10.87","Nagging wrist injury, managed with strong recent tournament play","High recent minutes (30, 32) in Sweet 16/Elite 8; reports confirm wrist improving and key role as starter (25-30+ MPG)","Adversarial review disproves over: Solo Ball in deep 3PT slump (0.6 3PM avg last5: 0,2,0,1,0 despite 26min avg; 0/5 twice in 30+min). Wrist injury lingers, shooting woes noted in news. Minutes proj 28 reliable (high tournament play bar 13min foul game). Team 3PM proj down vs season. Proj 1.56 stale; recent supports easy under 1.5.",1.56,interpolated_sim,2026-04-04 05:09 PM CDT,https://kenpom.com/player.php?p=54875
Braylon Mullins,Connecticut,UCLA,29.0,0.95,"[33, 34, 32, 27, 37]","[3.3, 3.4, 3.2, 2.7, 3.7]",GF,threes,under,1.7579,1.5,135,fanatics,0.5,1.1751,82,,LINE_CHANGED_2.5_TO_1.5:,caesars 2.5 O +154; U -209 | fanatics 1.5 O -210; U +135 | prophetx 2.5 O -20408; U -20408 | sleeper 2.5 O +142; U -263,"Team REB: 36.37, Team AST: 18.63, Team 3PM: 8.57, Team STL: 7.00, Team BLK: 5.47, Team TO: 10.87",N/A,Slightly high std dev but consistent recent usage in lineups,"Minutes stable at ~29 proj (last5:26-37min). Recent 3PM avg 1.2 last5 (1,2,2,0,1), 1.4 last10 on high vol (6+ att/g). Tournament 17% 3P%. Illinois elite opp 3P% D (top3,28.6%). Team 3PM proj down to7.7, PTS70 low pace. Cold streak supports under1.5 despite hero status; projection1.76 overstated vs recent. Solid but variance risk.",1.76,interpolated_sim,2026-04-04 05:09 PM CDT,https://kenpom.com/player.php?p=58096
Brayden Burries,Arizona,Utah St.,32.0,0.95,"[33, 33, 19, 33, 28]","[2.3, 2.3, 1.3, 2.3, 2]",F,steals,over,1.4674,1.5,175,fanatics,0.42,1.1677,52,,,fanatics 1.5 O +175; U -240,"Team REB: 43.23, Team AST: 17.23, Team 3PM: 5.87, Team STL: 8.07, Team BLK: 4.27, Team TO: 11.03",N/A,N/A,"Minutes proj 32 solid vs last5 avg 30.8, high conf. Recent Elite8 vs Purdue: 3 STL. Season per40 STL 2.0 suggests ~1.6 exp at 32min. Team STL proj 6.86 down from sea 8.07, poss slower vs MI. Proj 1.47<1.5 line, 42% win lik. No injury but past foul trouble/ankle. Role starter certain but scoring focus may limit gambling. Marginal over value.",1.47,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=59285
Keaton Wagler,Illinois,Connecticut,37.0,0.95,"[43, 32, 32, 38, 37]","[2.5, 1.8, 1.8, 2.2, 2.1]",G,assists,under,3.8561,4.5,-130,fanatics,0.66,1.161,84,,,caesars 4.5 O +101; U -134 | fanatics 4.5 O +100; U -130 | prophetx 4.5 O -20000; U -20000 | sleeper 4.5 O -112; U -147,"Team REB: 41.07, Team AST: 14.67, Team 3PM: 11.17, Team STL: 3.80, Team BLK: 4.77, Team TO: 9.03",N/A,N/A,"Minutes proj 37 aligns perfectly w/ last5 avg 36.4 & tourney trend; stable role, no injuries/rotation news. Recent AST volatile (8,7,3,3,2 last5 avg4.6) but tourney avg3.75 in low-score games (65-55,71-59,76-55) vs stout defs mirrors 3.86 proj & low team AST12.7. UConn elite D limits dimes; under edge trustworthy despite variance.",3.86,interpolated_sim,2026-04-04 05:09 PM CDT,https://kenpom.com/player.php?p=57911
Yaxel Lendeborg,Michigan,Arizona,34.0,0.95,"[34, 27, 32, 35, 35]","[1.9, 1.5, 1.8, 1.9, 1.9]",C,rebounds,over,8.2535,6.5,-115,fanatics,0.62,1.1602,58,,,caesars 6.5 O -124; U -108 | fanatics 6.5 O -115; U -115 | fanduel 6.5 O -128; U -104 | prophetx 6.5 O -132; U -118 | sleeper 6.5 O -137; U -119,"Team REB: 40.66, Team AST: 19.21, Team 3PM: 9.38, Team STL: 5.97, Team BLK: 5.90, Team TO: 12.03",N/A,N/A,"Minutes stable at 34+ in 4/5 recent, but REB volatile: last5 7,12,6,4,5 (avg6.8, 3/5 under6.5); last10 avg6.2. Lows like 3@38min vs MSU,5@35 vs PUR. AZ #2 natl reb team, top10 off reb; frontcourt clash limits opp. Team REB proj36.6<<season40.7. Ankle sprain recent, may hinder. 8.25 proj high vs trends; fragile edge.",8.25,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55504
