Player,team,opponent,proj_mins,conf,last_5_games,last_5_games_fouls,pos,stat,bet_side,stat_projection,line,odds,book,win_pct,expected_value,xAiScore,manualRtg,manualNotes,full_odds_meta_data,team_averages,minutes_injury_summary,minutes_confidence_justification,xAiContext,matched_sim_means,sim_source,game_time_cst,kenpom_player_url
Aday Mara,Michigan,Arizona,20.0,0.9,"[27, 21, 26, 27, 18]","[2.6, 2, 2.5, 2.6, 1.7]",C,points,under,9.6227,14.5,-114,fanduel,0.85,1.5958,87,,,caesars 12.5 O -118; U -112 | draftkings 13.5 O -105; U NA | fanduel 14.5 O +156; U -114 | prophetx 12.5 O -126; U -123 | sleeper 12.5 O -130; U -127,"Team REB: 40.66, Team AST: 19.21, Team 3PM: 9.38, Team STL: 5.97, Team BLK: 5.90, Team TO: 12.03",N/A,N/A,"Minutes proj 20 reasonable vs last5 avg23.8 (18-27 range), but foul trouble vs bigs (4vsTENN/DUKE,3vsPUR) caps at18-22 often. Pts last5:14PUR,19HOW,16SLU,8ALA,11TENN (avg13.6); vs top(ALA/TENN/PUR/DUKE):8/11/14/10 all<14.5. AZ frontcourt clash risks fouls/low eff; low team PTS proj aids under. Solid edge.",9.62,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55279
Elliot Cadeau,Michigan,Arizona,35.0,0.85,"[38, 26, 37, 34, 34]","[2.9, 2, 2.9, 2.6, 2.6]",G,points,over,15.1899,11.5,110,fanatics,0.71,1.4947,42,,,caesars 11.5 O +105; U -138 | draftkings 11.5 O -105; U NA | fanatics 11.5 O +110; U -105 | fanduel 9.5 O -174; U -132 | prophetx 11.5 O -106; U -147 | sleeper 11.5 O -114; U -145,"Team REB: 40.66, Team AST: 19.21, Team 3PM: 9.38, Team STL: 5.97, Team BLK: 5.90, Team TO: 12.03","Possible allergic reaction pre-Final Four travel; evaluated and cleared, plans to play",High std dev (4.21); recent health issue but confirmed available for game,"Last 5: 10.4 PPG (8@Tenn34m,17@Ala34m,12@StL37m,5@How26m,10@Pur38m); 2/5 over 11.5. Season 10.2PPG, facilitator (7-10APG). Allergic reaction risks fatigue despite clearance & travel. Min proj 35 ok but std4.21 volatile (26 low). Team PTS79<89avg, AZ backcourt tough. Proj15+>>trends; fragile scoring in tourney.",15.19,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55027
Braylon Mullins,Connecticut,UCLA,29.0,0.95,"[33, 34, 32, 27, 37]","[3.3, 3.4, 3.2, 2.7, 3.7]",GF,points,under,9.7105,14.5,-132,fanduel,0.84,1.473,92,,LINE_CHANGED_12.5_TO_14.5:,caesars 12.5 O -103; U -130 | draftkings 12.5 O +105; U NA | fanatics 12.5 O +100; U -130 | fanduel 14.5 O +176; U -132 | prophetx 12.5 O -109; U -143 | sleeper 11.5 O -143; U -115,"Team REB: 36.37, Team AST: 18.63, Team 3PM: 8.57, Team STL: 7.00, Team BLK: 5.47, Team TO: 10.87",N/A,Slightly high std dev but consistent recent usage in lineups,"Minutes proj 29 aligns perfectly w/ last5 (27,37,32,29,26). Recent pts:10(Duke),8(MSU),17(UCLA),12(FUR),5(SJU) avg10.4<14.5. Season11.9. Vs Ill Nov'25:2pts/10min(debut/injury). Hero status but poor tourney3PT(21%). Team PTS proj70 vs78.7avg. No injuries/role changes. Solid under edge.",9.71,interpolated_sim,2026-04-04 05:09 PM CDT,https://kenpom.com/player.php?p=58096
Brayden Burries,Arizona,Utah St.,32.0,0.95,"[33, 33, 19, 33, 28]","[2.3, 2.3, 1.3, 2.3, 2]",F,rebounds,under,4.6172,5.5,118,fanduel,0.67,1.4679,72,,LINE_CHANGED_4.5_TO_5.5:,caesars 5.5 O +108; U -162 | draftkings 5.5 O +115; U NA | fanatics 5.5 O +120; U -165 | fanduel 5.5 O +120; U +118 | prophetx 4.5 O -151; U -104 | sleeper 4.5 O -169; U +102,"Team REB: 43.23, Team AST: 17.23, Team 3PM: 5.87, Team STL: 8.07, Team BLK: 4.27, Team TO: 11.03",N/A,N/A,"Minutes proj 32 solid vs last5 (33,34,26,28,33). Recent rebs: vs PUR 6, ARK 5, USU 9, LIU 5, HOU 2 (avg 5.4, high variance 2-9). Season avg 4.9, tourney ~6. Low team REB proj 37.6 favors under for guard. No injuries/news changes role. Projection 4.62 trustworthy but fragile production dings score.",4.62,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=59285
Aday Mara,Michigan,Arizona,20.0,0.9,"[27, 21, 26, 27, 18]","[2.6, 2, 2.5, 2.6, 1.7]",C,points_rebounds_assists,under,17.7405,22.5,-122,sleeper,0.79,1.438,78,,,sleeper 22.5 O -135; U -122,"Team REB: 40.66, Team AST: 19.21, Team 3PM: 9.38, Team STL: 5.97, Team BLK: 5.90, Team TO: 12.03",N/A,N/A,"Minutes proj 20 underrates last5 avg 23.8, but foul trouble limited recent tourney mins (18 vs Tenn w/4PF, 27 vs Ala). PRA recent:15,17,26,32,22 (avg22.4), per min ~0.95. High foul risk vs AZ physical frontcourt (Krivas/Peat); coach quotes worry. Low team proj REB/PTS supports under, but unstable mins/role fragility lowers edge trust.","9.62,6.18,1.93","interpolated_sim,interpolated_sim,interpolated_sim",2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55279
Silas Demary,Connecticut,Illinois,23.0,0.85,"[31, 0, 22, 23, 23]","[2.7, 0, 1.9, 2, 2]",G,rebounds,under,3.7627,4.5,114,caesars,0.67,1.4314,82,,,caesars 4.5 O +125; U +114 | draftkings 4.5 O +145; U NA | fanduel 3.5 O -158; U -168 | prophetx 4 O -20408; U -171 | sleeper 3.5 O -179; U +107,"Team REB: 36.37, Team AST: 18.63, Team 3PM: 8.57, Team STL: 7.00, Team BLK: 5.47, Team TO: 10.87","Grade 2 high ankle sprain with calf/Achilles issues, consistently played 22-23 min in last 3 tournament games despite limited practice","High recent consistency (22,23,23 min) reduces prior std dev concerns amid ongoing injury management","Minutes stable 22-23 in last 3 tourn games (UCLA:3REB, MSU:3, Duke:5) despite ankle/calf injury; avg 3.67REB aligns w/ 3.76 proj. Last5 avg 4.4 but variable (2-9); season 4.5REB at higher 29min. No role/min increase news; lower team REB proj (34.9 vs 36.4) supports under. Solid but fragile variance.",3.76,interpolated_sim,2026-04-04 05:09 PM CDT,https://kenpom.com/player.php?p=54416
Jaden Bradley,Arizona,Utah St.,37.0,0.88,"[35, 31, 31, 34, 23]","[2.2, 1.9, 1.9, 2.1, 1.4]",G,threes,over,1.1339,1.5,370,fanduel,0.3,1.4289,28,,LINE_CHANGED_0.5_TO_1.5:,caesars 0.5 O -143; U NA | draftkings 0.5 O -150; U NA | fanatics 0.5 O -140; U +105 | fanduel 1.5 O +370; U NA,"Team REB: 43.23, Team AST: 17.23, Team 3PM: 5.87, Team STL: 8.07, Team BLK: 4.27, Team TO: 11.03",N/A,"High recent minutes as core starter in most lineups, past wrist scare resolved","Minutes stable at ~34 mpg last 5 (post-injury), proj 37 slightly high but core PG role certain. Recent 3PM: 0,1,1,1,2 (avg 1.0) on 2.2 PA/gm; tournament 3/9 total. Season low vol ~1.9 PA/gm despite 39% 3P%. Streaky, cold lately. Team 3PM flat. Michigan D, low-scoring proj favors under 1.5. Fragile production lowers trust in over.",1.13,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=52396
Brayden Burries,Arizona,Utah St.,32.0,0.95,"[33, 33, 19, 33, 28]","[2.3, 2.3, 1.3, 2.3, 2]",F,points_rebounds,under,18.2872,21.5,-102,fanduel,0.71,1.4016,38,,,draftkings 22.5 O -110; U NA | fanduel 21.5 O -125; U -102 | prophetx 22.5 O -20408; U -20408,"Team REB: 43.23, Team AST: 17.23, Team 3PM: 5.87, Team STL: 8.07, Team BLK: 4.27, Team TO: 11.03",N/A,N/A,"Minutes stable at ~30+ (last5:33,34,26,28,33), no injury/rotation issues. But PRA last5:20,28,25,23,23 (avg23.8)>21.5 line/projection18.3. Recent hot streak (pts avg18.4, reb5.4) vs proj pts13.7/reb4.6 undervalues. Foul trouble risk (e.g. USU), low team PTS proj(78<86.6) may help under, but role as star guard firm. Edge fragile.","13.67,4.62","interpolated_sim,interpolated_sim",2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=59285
Andrej Stojakovic,Illinois,Connecticut,27.0,0.9,"[31, 20, 26, 29, 26]","[1.6, 1, 1.4, 1.5, 1.4]",F,points,under,10.9893,14.5,-120,fanduel,0.76,1.4006,68,,,caesars 12.5 O -112; U -120 | draftkings 12.5 O -120; U NA | fanatics 12.5 O -115; U -115 | fanduel 14.5 O +168; U -120 | prophetx 12.5 O -120; U -129 | sleeper 12.5 O -123; U -133,"Team REB: 41.07, Team AST: 14.67, Team 3PM: 11.17, Team STL: 3.80, Team BLK: 4.77, Team TO: 9.03",N/A,N/A,"Minutes proj 27 stable (last5 avg ~26, conf 0.9, no injury/rotation changes). Recent pts: 17(Iowa),13(Hou),21(VCU),9(Penn),17(Wis) avg15.4>14.5 line. Tournament hot vs strong Ds questions under. Season 13.6; proj10.99 low. UConn top D, low team PTS proj74 support under, but volatile pts (0@Mich,22@USC) & key role fragile. Edge ok but recent streak erodes trust.",10.99,interpolated_sim,2026-04-04 05:09 PM CDT,https://kenpom.com/player.php?p=54816
Yaxel Lendeborg,Michigan,Arizona,34.0,0.95,"[34, 27, 32, 35, 35]","[1.9, 1.5, 1.8, 1.9, 1.9]",C,assists,under,3.1229,3.5,125,fanatics,0.62,1.4,68,,,caesars 3.5 O +115; U -173 | draftkings 3.5 O +130; U NA | fanatics 3.5 O +130; U +125 | prophetx 3.5 O -20408; U -20408 | sleeper 2.5 O -185; U +110,"Team REB: 40.66, Team AST: 19.21, Team 3PM: 9.38, Team STL: 5.97, Team BLK: 5.90, Team TO: 12.03",N/A,N/A,"Minutes proj 34 stable (last5:35,34,32,27,35). Assists recent:4(Tenn),7(Ala),2(SLU),4(How),1(Pur) avg3.6>line. Post-injury (after Pur ankle sprain): avg4.25. Season~3.3. Key role as scorer/passer, point-forward flashes. Team AST proj16.1<19.2sugg lower opps. Arizona frontcourt duel may boost passes but strong D limits. Recent variance high, edge solid but fragile prod lowers conf.",3.12,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55504
Aday Mara,Michigan,Arizona,20.0,0.9,"[27, 21, 26, 27, 18]","[2.6, 2, 2.5, 2.6, 1.7]",C,points_rebounds,under,15.8076,19.5,-115,fanduel,0.75,1.3983,78,,,draftkings 20.5 O -105; U NA | fanduel 19.5 O -111; U -115,"Team REB: 40.66, Team AST: 19.21, Team 3PM: 9.38, Team STL: 5.97, Team BLK: 5.90, Team TO: 12.03",N/A,N/A,"Recent 5 games PRA avg 19.2 (15,13,21,26,21), close to 19.5 line despite proj 15.8; min avg 23.8>20 proj, but foul trouble history (early fouls vs Tenn) & AZ tough frontcourt (Krivas/Peat) risk limits. Efficient per min but variance high (13-26); low team PTS/REB proj aids under. Edge ok but fragile production/min stability.","9.62,6.18","interpolated_sim,interpolated_sim",2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55279
Tobe Awaka,Arizona,Utah St.,17.0,0.9,"[20, 20, 27, 14, 18]","[2.6, 2.6, 3.5, 1.8, 2.3]",FC,points,under,7.1353,9.5,-114,fanduel,0.74,1.3909,87,,LINE_CHANGED_8.5_TO_9.5:,caesars 7.5 O -110; U -121 | draftkings 7.5 O -110; U NA | fanatics 7.5 O -105; U -125 | fanduel 9.5 O +164; U -114 | prophetx 7.5 O -122; U -127 | sleeper 7.5 O -128; U -128,"Team REB: 43.23, Team AST: 17.23, Team 3PM: 5.87, Team STL: 8.07, Team BLK: 4.27, Team TO: 11.03",N/A,Variable recent minutes but frequent in lineups spelling frontcourt,"Last 5 games: 11min/4pts (Purdue),24/14(Ark),13/4(USU),18/11(LIU),14/2(Hou); avg 7pts/16min, 4/5 under 9.5. Bench role firm w/ healthy Peat back, no injury news. Mins variable (foul trouble vs Purdue) but proj accurate. Efficient but low usage; team low PTS proj (78) limits opp. MI frontcourt clash favors reb>pts. Projection solid, edge holds.",7.14,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=53032
Aday Mara,Michigan,Arizona,20.0,0.9,"[27, 21, 26, 27, 18]","[2.6, 2, 2.5, 2.6, 1.7]",C,assists,under,1.9328,2.5,100,sleeper,0.69,1.3891,72,,,sleeper 2.5 O -167; U +100,"Team REB: 40.66, Team AST: 19.21, Team 3PM: 9.38, Team STL: 5.97, Team BLK: 5.90, Team TO: 12.03",N/A,N/A,"Minutes proj 20 stable (last5 avg~24), high conf. Recent AST volatile: tourney avg 3.75 (6,5,4,0) but foul trouble common (4PF last gme). Season 2.4APG aligns proj 1.93<2.5. Arizona bigs risk more fouls/limited opps. Team AST proj down aids under. Edge ok but fragile recent surge lowers trust.",1.93,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55279
Motiejus Krivas,Arizona,Utah St.,32.0,0.98,"[25, 23, 27, 25, 22]","[2.7, 2.5, 2.9, 2.7, 2.4]",C,points_rebounds,over,21.8898,16.5,-125,fanduel,0.77,1.3866,62,,LINE_CHANGED_18.5_TO_16.5:,draftkings 17.5 O -110; U NA | fanduel 16.5 O -125; U -102 | prophetx 17.5 O -20408; U -20408,"Team REB: 43.23, Team AST: 17.23, Team 3PM: 5.87, Team STL: 8.07, Team BLK: 4.27, Team TO: 11.03",N/A,Variable recent minutes but key in top lineup shares with Peat/Awaka,"Minutes proj 32 high vs last5 avg 27.4 (22-35 range unstable). Recent PRA:12,16,25,19,18 (avg18<21.9 proj; 3/5 over 16.5, unders vs HOU/LIU). Points avg9.2, reb8.8 recent. Tough MI frontcourt (Mara et al) matchup limits production; team REB proj37.6<<43.2 signals poor env. Deep rot w/Peat/Awaka shares load, foul risk. Edge overstated at77%.","12.12,9.77","interpolated_sim,interpolated_sim",2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55294
Motiejus Krivas,Arizona,Utah St.,32.0,0.98,"[25, 23, 27, 25, 22]","[2.7, 2.5, 2.9, 2.7, 2.4]",C,points,over,12.1176,9.5,106,fanduel,0.66,1.3644,42,,,caesars 9.5 O -108; U -124 | draftkings 9.5 O -115; U NA | fanatics 9.5 O -110; U -120 | fanduel 9.5 O +106; U -132 | prophetx 9.5 O -109; U -143 | sleeper 9.5 O -111; U -147,"Team REB: 43.23, Team AST: 17.23, Team 3PM: 5.87, Team STL: 8.07, Team BLK: 4.27, Team TO: 11.03",N/A,Variable recent minutes but key in top lineup shares with Peat/Awaka,"Minutes proj 32 optimistic vs last5 avg 27.4 (22-35 range), variable w/ Awaka/Peat shares. Recent pts: 6,14,11,9,6 (avg9.2), volatile; 6pts in 35min vs PUR, 6 in25 vs HOU. Only 5/10 over9.5 last10. Team PTS proj78<season86.6; MI frontcourt clash limits scoring. No injuries but fragile recent prod, high min not guaranteeing pts. Edge shaky.",12.12,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55294
Elliot Cadeau,Michigan,Arizona,35.0,0.85,"[38, 26, 37, 34, 34]","[2.9, 2, 2.9, 2.6, 2.6]",G,threes,under,2.3388,2.5,125,fanatics,0.59,1.333,75,,,caesars 1.5 O -170; U +124 | draftkings 1.5 O -175; U NA | fanatics 2.5 O +160; U +125 | fanduel 1.5 O -172; U NA | sleeper 1.5 O -189; U +112,"Team REB: 40.66, Team AST: 19.21, Team 3PM: 9.38, Team STL: 5.97, Team BLK: 5.90, Team TO: 12.03","Possible allergic reaction pre-Final Four travel; evaluated and cleared, plans to play",High std dev (4.21); recent health issue but confirmed available for game,"Minutes avg 33.8 (last5:38,26,37,34,34) supports 35 proj but high std(4.21)&recent allergic reaction (cleared) risk reduced playtime/role. Recent 3PM:1(vsPUR),1(HOW),3(STLU),3(BAMA),1(TENN) avg1.8<2.34 proj; under in 3/5 despite ~5 3PA. Season1.6 3PM@38%; team3PM proj8.4<9.4season. AZ likely limits PG3s. Solid under edge but volatile output/health lowers trust.",2.34,interpolated_sim,2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55027
Elliot Cadeau,Michigan,Arizona,35.0,0.85,"[38, 26, 37, 34, 34]","[2.9, 2, 2.9, 2.6, 2.6]",G,points_rebounds_assists,over,25.1046,20.5,-128,sleeper,0.73,1.3058,78,,,sleeper 20.5 O -128; U -128,"Team REB: 40.66, Team AST: 19.21, Team 3PM: 9.38, Team STL: 5.97, Team BLK: 5.90, Team TO: 12.03","Possible allergic reaction pre-Final Four travel; evaluated and cleared, plans to play",High std dev (4.21); recent health issue but confirmed available for game,"Last5 PRA:21(Tenn),29(Ala),23(StL),16(How blowout),21(Pur). Avg22>20.5, over4/5. Pts avg10.4<<proj15(optimistic); reb3=3.5; ast8.6>6.4. Min avg33.8/35, std high w/26 outlier. Cleared allergy but stretcher scare pre-game risks stamina/effort. Az opp ast12.2 (mid); low team PTS/AST proj. Role stable PG, but health/tough matchup lowers trust.","15.19,3.52,6.40","interpolated_sim,interpolated_sim,interpolated_sim",2026-04-04 07:49 PM CDT,https://kenpom.com/player.php?p=55027
